index,axis-0,axis-1,axis-2
0.0,26.0,776.3356972875724,314.81529398204685
1.0,27.0,776.3356972875724,314.4288542154307
2.0,28.0,776.3356972875724,314.4288542154307
3.0,29.0,776.3356972875724,314.4288542154307
4.0,30.0,776.3356972875723,312.88309514896616
5.0,31.0,776.3356972875723,312.88309514896616
6.0,32.0,776.3356972875723,312.88309514896616
7.0,33.0,777.881456354037,314.4288542154307
8.0,34.0,777.881456354037,314.4288542154307
9.0,35.0,777.881456354037,314.4288542154307
10.0,25.0,778.6543358872693,314.81529398204685
11.0,24.0,779.0407756538855,315.58817351527915
12.0,23.0,778.6543358872693,315.58817351527915
13.0,22.0,777.1085768208047,315.58817351527915
14.0,21.0,777.1085768208047,315.58817351527915
15.0,20.0,776.3356972875724,315.58817351527915
16.0,19.0,774.0170586878756,316.74749281512754
17.0,18.0,772.471299621411,317.1339325817437
18.0,17.0,772.471299621411,318.6796916482083
19.0,16.0,772.8577393880272,317.52037234835984
20.0,15.0,772.8577393880272,317.52037234835984
21.0,14.0,774.4034984544918,317.1339325817437
22.0,13.0,774.0170586878756,317.906812114976
23.0,12.0,775.176377987724,314.81529398204685
24.0,11.0,775.56281775434,312.88309514896616
25.0,10.0,775.9492575209562,314.04241444881455
26.0,9.0,775.1763779877239,312.88309514896616
27.0,8.0,775.1763779877239,312.88309514896616
28.0,7.0,776.7221370541885,312.11021561573386
29.0,6.0,776.7221370541885,310.9508963158854
30.0,5.0,776.7221370541885,310.9508963158854
31.0,4.0,777.1085768208046,310.1780167826531
32.0,3.0,777.1085768208046,309.0186974828047
33.0,2.0,775.1763779877239,310.9508963158854
34.0,2.0,587.7530911788946,338.7745595122477
35.0,3.0,586.9802116456623,338.7745595122477
36.0,4.0,586.9802116456623,339.16099927886387
37.0,5.0,586.5937718790461,341.4796378785607
38.0,6.0,586.5937718790461,340.70675834532847
39.0,7.0,586.5937718790461,342.252517411793
40.0,8.0,586.9802116456623,339.93387881209617
41.0,9.0,586.9802116456623,340.70675834532847
42.0,10.0,587.3666514122784,339.93387881209617
43.0,11.0,587.3666514122784,340.3203185787123
44.0,12.0,586.5937718790461,339.54743904548
45.0,13.0,586.5937718790461,339.54743904548
46.0,14.0,586.5937718790461,339.54743904548
47.0,15.0,586.5937718790461,339.54743904548
48.0,16.0,584.2751332793493,339.54743904548
49.0,17.0,586.5937718790461,341.4796378785607
50.0,18.0,586.5937718790461,342.63895717840916
51.0,19.0,586.5937718790461,343.0253969450253
52.0,20.0,587.7530911788946,343.0253969450253
53.0,21.0,587.7530911788946,342.252517411793
54.0,22.0,587.7530911788946,342.252517411793
55.0,23.0,589.2988502453592,342.252517411793
56.0,24.0,588.912410478743,342.252517411793
57.0,25.0,586.9802116456623,341.4796378785607
58.0,26.0,586.9802116456623,341.4796378785607
59.0,27.0,585.820892345814,340.3203185787123
60.0,28.0,585.820892345814,341.86607764517686
61.0,29.0,585.820892345814,341.86607764517686
62.0,30.0,585.820892345814,343.0253969450253
63.0,31.0,585.820892345814,343.0253969450253
64.0,115.0,850.9185722444879,211.63587629553663
65.0,116.0,850.9185722444879,212.79519559538508
66.0,117.0,850.9185722444879,212.02231606215278
67.0,118.0,850.9185722444879,212.02231606215278
68.0,119.0,850.9185722444879,212.02231606215278
69.0,120.0,850.1456927112556,212.79519559538508
70.0,121.0,850.1456927112556,212.79519559538508
71.0,122.0,850.1456927112556,212.40875582876893
72.0,123.0,850.1456927112556,212.40875582876893
73.0,124.0,850.1456927112556,212.40875582876893
74.0,125.0,848.599933644791,212.79519559538508
75.0,126.0,850.1456927112556,212.40875582876893
76.0,127.0,850.1456927112556,212.40875582876893
77.0,128.0,850.1456927112556,212.40875582876893
78.0,129.0,850.1456927112556,212.40875582876893
79.0,130.0,850.1456927112556,212.40875582876893
80.0,131.0,850.1456927112556,212.40875582876893
81.0,132.0,850.1456927112556,212.40875582876893
82.0,133.0,849.7592529446395,213.18163536200123
83.0,134.0,849.7592529446395,213.18163536200123
84.0,135.0,849.7592529446395,212.79519559538508
85.0,136.0,849.7592529446395,212.79519559538508
86.0,137.0,849.7592529446395,212.79519559538508
87.0,138.0,849.7592529446395,212.79519559538508
88.0,139.0,771.5727339547997,305.8383282585459
89.0,140.0,771.2154998062355,306.10625386996907
90.0,141.0,769.6972546748375,307.8924246127902
91.0,142.0,768.7148607662858,308.24965876135445
92.0,143.0,767.1073070977468,309.23205266990607
93.0,144.0,764.8745936692204,308.5175843727776
94.0,145.0,764.4280509835152,307.98173314993124
95.0,146.0,764.4280509835152,307.80311607564914
96.0,147.0,762.552571703553,307.80311607564914
97.0,148.0,761.5701777950013,305.8383282585459
98.0,149.0,766.6607644120415,306.3741794813923
99.0,150.0,767.37523270917,306.3741794813923
100.0,151.0,768.0897010062985,306.6421050928154
101.0,152.0,768.0897010062985,306.7314136299565
102.0,153.0,768.0897010062985,306.5527965556744
103.0,154.0,768.0897010062985,306.5527965556744
104.0,155.0,768.0897010062985,306.4634880185333
105.0,156.0,768.0897010062985,306.4634880185333
106.0,157.0,767.6431583205932,307.17795631566173
107.0,158.0,767.6431583205932,307.17795631566173
108.0,159.0,767.6431583205932,307.17795631566173
109.0,138.0,771.0368827319533,305.2131684985585
110.0,137.0,771.6620424919407,305.2131684985585
111.0,136.0,772.8230534747744,304.2307745900069
112.0,99.0,286.8353008615468,768.9286092942814
113.0,100.0,286.6179656424521,768.2041585639656
114.0,101.0,286.6179656424521,768.9286092942814
115.0,102.0,286.18329520426266,768.9286092942814
116.0,103.0,285.96595998516796,768.2041585639656
117.0,104.0,285.96595998516796,768.1317134909341
